ID,SABLE,lights,tee,GROUP,DRUG,Lean
3722,baseline,on,5.8606836675,restricted,RTIOXA_47,25.64
3722,peak obesity,off,4.857506140000003,restricted,RTIOXA_47,26.43
3722,peak obesity,on,4.9345622291666675,restricted,RTIOXA_47,26.43
3726,BW loss,off,5.547460233333332,ad lib,RTIOXA_47,26.9
3726,BW loss,on,6.459979822499999,ad lib,RTIOXA_47,26.9
3726,BW maintenance,off,7.8089054024999935,ad lib,RTIOXA_47,25.84
3726,BW maintenance,on,8.852922346666661,ad lib,RTIOXA_47,25.84
3726,baseline,off,4.336110224166665,ad lib,RTIOXA_47,23.03
3726,baseline,on,5.513293538333328,ad lib,RTIOXA_47,23.03
3726,peak obesity,off,4.285534705000001,ad lib,RTIOXA_47,26.36
3726,peak obesity,on,4.758620968333335,ad lib,RTIOXA_47,26.36
3727,BW loss,off,2.9754042108333323,restricted,vehicle,25.56
3727,BW loss,on,3.0861836141666656,restricted,vehicle,25.56
3727,BW maintenance,off,4.335798073333335,restricted,vehicle,23.31
3727,BW maintenance,on,5.650670988333339,restricted,vehicle,23.31
3727,baseline,off,5.428463426666665,restricted,vehicle,25.38
3727,baseline,on,6.561634182500002,restricted,vehicle,25.38
3727,peak obesity,off,4.640848475833332,restricted,vehicle,26.08
3727,peak obesity,on,6.164117101666664,restricted,vehicle,26.08
3728,BW loss,off,3.8440009699999993,restricted,vehicle,24.29
3728,BW loss,on,3.7296753608333333,restricted,vehicle,24.29
3728,BW maintenance,off,3.388544908333333,restricted,vehicle,22.87
3728,BW maintenance,on,4.310927053333332,restricted,vehicle,22.87
3728,baseline,off,5.2671168,restricted,vehicle,24.04
3728,baseline,on,6.3586555324999985,restricted,vehicle,24.04
3728,peak obesity,off,5.026230145833335,restricted,vehicle,26.05
3728,peak obesity,on,4.947037638333333,restricted,vehicle,26.05
3729,BW loss,off,2.417350649166666,restricted,RTIOXA_47,26.03
3729,BW loss,on,2.599439143333334,restricted,RTIOXA_47,26.03
3729,BW maintenance,off,4.081614200000001,restricted,RTIOXA_47,25.63
3729,BW maintenance,on,4.236208504166667,restricted,RTIOXA_47,25.63
3729,baseline,off,4.970599166666667,restricted,RTIOXA_47,25
3729,baseline,on,6.009830746666671,restricted,RTIOXA_47,25
3729,peak obesity,off,5.046248436666668,restricted,RTIOXA_47,27.67
3729,peak obesity,on,5.089397597500003,restricted,RTIOXA_47,27.67
