"","ID","complete_days","SABLE","STRAIN","SEX","DIET_FORMULA","FI_total","GROUP","DRUG"
"1","3706",2,"BW loss","NZO/HlLtJ","F","D12450Ki",7.94858909697018,"ad lib","vehicle"
"2","3706",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",8.22681799336308,"ad lib","vehicle"
"3","3706",2,"BW regain","NZO/HlLtJ","F","D12450Ki",4.58618237206264,"ad lib","vehicle"
"4","3706",2,"baseline","NZO/HlLtJ","F","D12450Ki",5.8856634318854,"ad lib","vehicle"
"5","3706",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",4.42118234459633,"ad lib","vehicle"
"6","3707",2,"BW loss","NZO/HlLtJ","F","D12450Ki",7.811769760917,"ad lib","vehicle"
"7","3707",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",11.2706003061452,"ad lib","vehicle"
"8","3707",2,"BW regain","NZO/HlLtJ","F","D12450Ki",7.00949257100461,"ad lib","vehicle"
"9","3707",2,"baseline","NZO/HlLtJ","F","D12450Ki",3.7544750171096,"ad lib","vehicle"
"10","3707",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",7.65987563466021,"ad lib","vehicle"
"11","3708",2,"BW loss","NZO/HlLtJ","F","D12450Ki",0.331401167832794,"restricted","RTIOXA_47"
"12","3708",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",0.0964706457711628,"restricted","RTIOXA_47"
"13","3708",2,"BW regain","NZO/HlLtJ","F","D12450Ki",5.68427079292903,"restricted","RTIOXA_47"
"14","3708",2,"baseline","NZO/HlLtJ","F","D12450Ki",6.78244377618347,"restricted","RTIOXA_47"
"15","3708",2,"peak obesity","NZO/HlLtJ","F","D12450Ki",3.55530312779055,"restricted","RTIOXA_47"
"16","3710",2,"BW loss","NZO/HlLtJ","F","D12450Ki",0.639647318759781,"restricted","RTIOXA_47"
"17","3710",2,"BW maintenance","NZO/HlLtJ","F","D12450Ki",0.160271432455221,"restricted","RTIOXA_47"
