ID,SABLE,tee,GROUP,DRUG,Lean,Weight,Fat,window_start_time,window_end_time,RMR_kcal_day,TEE_minus_RMR
3716,BW maintenance,11.042304198333328,Ad lib,RTIOXA_47,25.81,45.46,19.77,2025-06-07T07:37:00Z,2025-06-07T08:06:00Z,10.96662624,0.07567795833332802
3716,BW regain,8.317738220833338,Ad lib,RTIOXA_47,28.49,49.5,21.33,2025-07-12T08:35:00Z,2025-07-12T09:04:00Z,6.37369064,1.9440475808333373
3716,Baseline,9.190726126666664,Ad lib,RTIOXA_47,21.72,31.6,10.23,2024-11-20T05:39:00Z,2024-11-20T06:08:00Z,7.33658088,1.8541452466666648
3716,Peak obesity,10.100599732499997,Ad lib,RTIOXA_47,25.53,44,18.79,2025-02-07T07:38:00Z,2025-02-07T08:07:00Z,7.501325680000001,2.5992740524999967
3719,BW loss,11.253863144166658,Ad lib,RTIOXA_47,25.66,47.55,22.05,2025-04-25T17:37:00Z,2025-04-25T18:06:00Z,7.97230008,3.281563064166658
3719,BW maintenance,10.335364840833343,Ad lib,RTIOXA_47,25.45,49.78,24.39,2025-06-06T02:50:00Z,2025-06-06T03:19:00Z,9.83027112,0.5050937208333419
3719,BW regain,12.557134194999996,Ad lib,RTIOXA_47,27.93,49.1,21.63,2025-07-14T08:08:00Z,2025-07-14T08:37:00Z,9.49070152,3.066432674999996
3719,Baseline,8.692593612500005,Ad lib,RTIOXA_47,22.21,33.7,11.74,2024-11-20T04:01:00Z,2024-11-20T04:30:00Z,7.45619608,1.2363975325000052
3719,Peak obesity,9.612420700833336,Ad lib,RTIOXA_47,25.89,46.76,21.67,2025-02-09T04:49:00Z,2025-02-09T05:18:00Z,7.355472160000001,2.256948540833336
3720,BW loss,5.658164042083325,Restricted,Vehicle,23.35,30.82,7.44,2025-04-17T12:30:00Z,2025-04-17T12:59:00Z,2.0755462799999997,3.582617762083325
3720,BW maintenance,6.233165383333338,Restricted,Vehicle,22.31,30.01,8.11,2025-06-06T11:12:00Z,2025-06-06T11:41:00Z,3.8709672,2.362198183333338
3720,BW regain,11.488842885833332,Restricted,Vehicle,26.71,37.06,10.09,2025-07-16T13:07:00Z,2025-07-16T13:36:00Z,9.22397512,2.2648677658333316
3720,Baseline,9.893898421666663,Restricted,Vehicle,22.81,30.59,8.08,2024-11-28T08:05:00Z,2024-11-28T08:34:00Z,7.6590324800000005,2.234865941666662
3720,Peak obesity,8.712499813333327,Restricted,Vehicle,24.91,37.14,12.21,2025-02-10T06:25:00Z,2025-02-10T06:54:00Z,6.351702159999999,2.3607976533333277
3721,BW loss,5.1870046234999965,Restricted,RTIOXA_47,25.32,36.01,10.38,2025-04-17T11:19:00Z,2025-04-17T11:48:00Z,4.42003424,0.7669703834999968
3721,BW maintenance,5.213924839999999,Restricted,RTIOXA_47,23.72,33.96,10.33,2025-06-06T11:20:00Z,2025-06-06T11:49:00Z,4.26413688,0.9497879599999992
